ds,y,yhat
2020-01-16,6.113829335283697e-05,4.7859776181884306e-05
2020-01-17,4.2197548751573474e-05,4.1551828214945006e-05
2020-01-18,3.5230306558031205e-05,2.996594818639278e-05
2020-01-19,3.2634660619455704e-05,3.533920183550548e-05
2020-01-20,3.81618829872518e-05,5.9404570793691686e-05
2020-01-21,,4.180214803479979e-05
2020-01-22,3.719943403764303e-05,3.497734613786447e-05
2020-01-23,3.6115562967905484e-05,3.899427706810256e-05
2020-01-24,4.351289031994303e-05,3.2365108295103e-05
2020-01-25,4.30723029530193e-05,5.161130432326604e-05
2020-01-26,2.969973056603477e-05,4.168146409959849e-05
2020-01-27,3.7927486843059184e-05,3.356759168104247e-05
2020-01-28,2.667915604801288e-05,3.922053861827029e-05
2020-01-29,,4.431006493549131e-05
2020-01-30,4.010237709581997e-05,4.436508779404059e-05
2020-01-31,8.50067777343513e-05,6.154468283967064e-05
2020-02-01,4.49954135447494e-05,4.538976885450701e-05
2020-02-02,3.336879127832962e-05,3.513771859728405e-05
2020-02-03,3.713075524827549e-05,4.0265100095435055e-05
2020-02-04,3.794517487733308e-05,3.847779078411667e-05
2020-02-05,,3.201689967941476e-05
2020-02-06,2.6231589929702094e-05,2.5572127132539944e-05
2020-02-07,1.6003391041740193e-05,3.684024812102906e-05
2020-02-08,3.085076950406126e-05,2.144924589743716e-05
2020-02-09,2.5738149045971372e-05,2.339153600566853e-05
2020-02-10,6.370539242416285e-05,5.669588054437868e-05
2020-02-11,3.183330277859614e-05,5.177988270971496e-05
2020-02-12,3.091009726881641e-05,4.7330683623329314e-05
2020-02-13,3.5745427961919155e-05,3.546997439482929e-05
2020-02-14,5.393347831482154e-05,4.6147087036184416e-05
2020-02-15,4.674248737020526e-05,4.1490771288934424e-05
2020-02-16,5.995326739780659e-05,2.5453849072321934e-05
2020-02-17,,4.15036661055378e-05
2020-02-18,3.158842137942485e-05,3.910152903129447e-05
2020-02-19,3.518505974172633e-05,6.741658740235902e-05
2020-02-20,3.013305009736652e-05,3.65431381971259e-05
2020-02-21,2.7328619361475406e-05,3.0724791048178275e-05
2020-02-22,5.419860460507943e-05,5.4117274659625146e-05
2020-02-23,2.5447520509952592e-05,4.7696676452635624e-05
2020-02-24,2.3360711881651416e-05,2.906771291548589e-05
2020-02-25,4.3790114460459874e-05,4.707584950535798e-05
2020-02-26,7.121703315867495e-05,5.298187962224642e-05
2020-02-27,7.975249943377291e-05,4.5971502177423306e-05
2020-02-28,9.721995160772177e-05,4.825199857170952e-05
2020-02-29,5.294789805025004e-05,4.043905827525497e-05
2020-03-01,4.658394288165015e-05,3.445183919662585e-05
2020-03-02,6.796110539313737e-05,4.278062314826146e-05
2020-03-03,6.358161225339952e-05,4.246596225316217e-05
2020-03-04,9.703736759393137e-05,4.826871733102169e-05
2020-03-05,4.708072888996063e-05,4.409097348623213e-05
2020-03-06,4.954170765153473e-05,3.878535525521801e-05
2020-03-07,4.422973366756117e-05,3.297610806576701e-05
2020-03-08,2.2882004486745995e-05,3.74128957556344e-05
2020-03-09,4.461416524492398e-05,3.062077728175822e-05
2020-03-10,3.567474346149589e-05,2.6096989052529152e-05
2020-03-11,,3.5369040604143094e-05
2020-03-12,0.0001234517392559882,9.0268046301401e-05
2020-03-13,4.441996659922512e-05,4.3053461705059014e-05
2020-03-14,,3.250703166605223e-05
2020-03-15,9.987171473349801e-06,2.5875892087299294e-05
2020-03-16,2.5795300492259255e-05,6.626814507697212e-05
2020-03-17,,5.6978275131721295e-05
2020-03-18,3.599073776668065e-05,4.741323030196516e-05
2020-03-19,2.6704060244890057e-05,4.73625801426077e-05
2020-03-20,3.1090044596108106e-05,6.228901662658773e-05
2020-03-21,2.2993268983877698e-05,4.194664875456536e-05
2020-03-22,1.7440837120029778e-05,4.341934437256296e-05
2020-03-23,2.0529347764041664e-05,4.4063736139208945e-05
2020-03-24,2.4989918281236577e-05,3.020629765176258e-05
2020-03-25,,4.655028302261904e-05
2020-03-26,3.234405404672488e-05,3.733634281412022e-05
2020-03-27,3.15387092420428e-05,4.226542207557927e-05
2020-03-28,4.385612383695971e-05,5.352146118222467e-05
2020-03-29,2.7561976274922686e-05,5.341729225122712e-05
2020-03-30,2.338095521812428e-05,4.38919576848667e-05
2020-03-31,,2.5285607553705092e-05
2020-04-01,2.3893779801434678e-05,4.3727867967649804e-05
2020-04-02,1.5015129507351005e-05,1.9649744262665703e-05
2020-04-03,3.6153453869989956e-05,7.406557459707873e-05
2020-04-04,3.667485576994579e-05,4.294550166086252e-05
2020-04-05,2.8859118567272956e-05,3.690933690819359e-05
2020-04-06,1.666697637224666e-05,4.739969321828436e-05
2020-04-07,2.873941110924564e-05,5.8268272229358256e-05
2020-04-08,4.4227892915555374e-05,7.251133750667567e-05
2020-04-09,1.7981745048165604e-05,5.241307226553315e-05
2020-04-10,2.1519969393522636e-05,4.657042821308057e-05
2020-04-11,2.071696235240074e-05,5.2785734251863964e-05
2020-04-12,9.822250405259743e-06,2.8429748344538384e-05
2020-04-13,,8.91376876299775e-05
2020-04-14,1.8594956991784956e-05,3.2861951993912246e-05
2020-04-15,3.8015361602123855e-05,4.9229115923245205e-05
2020-04-16,9.396571048924618e-05,0.00012974686768778827
2020-04-17,3.956149203637367e-05,7.042381609699588e-05
2020-04-18,3.30419719455187e-05,4.82284112953409e-05
2020-04-19,2.132797674033078e-05,3.8089660065759484e-05
2020-04-20,5.238078719787748e-05,8.42001402243059e-05
2020-04-21,3.1503786449671e-05,4.120689346434418e-05
2020-04-22,3.319167620213728e-05,4.979474250697938e-05
2020-04-23,6.597248754484962e-05,5.7474617427398405e-05
2020-04-24,9.433648161647436e-05,3.997805036955341e-05
2020-04-25,,2.7549529759744478e-05
2020-04-26,2.3013677428421547e-05,2.447276935891864e-05
2020-04-27,,3.401730680898087e-05
2020-04-28,,3.749435669617669e-05
2020-04-29,3.398134837120784e-05,5.313092384436155e-05
2020-04-30,8.18032180332195e-05,7.217090843129302e-05
2020-05-01,2.7953285048457387e-05,4.4430798208767014e-05
2020-05-02,3.087899275491202e-05,6.359074152855523e-05
2020-05-03,2.062761755652323e-05,2.7514662993141132e-05
2020-05-04,,7.313413695271248e-05
2020-05-05,,3.101352001219804e-05
2020-05-06,2.0691209660201034e-05,5.3007326369892764e-05
2020-05-07,5.7604484284370594e-05,6.909974396499632e-05
2020-05-08,4.443470490261738e-05,5.402882084139058e-05
2020-05-09,3.407516985151996e-05,3.829886211426334e-05
2020-05-10,3.344238610132002e-05,4.494486165373955e-05
2020-05-11,7.211999375799976e-05,5.419195232253163e-05
2020-05-12,9.464107412112225e-05,0.0001016029974592231
2020-05-13,6.450647806686205e-05,6.653407493988058e-05
2020-05-14,0.00018247356896783785,0.00018242875204676245
2020-05-15,4.020048336449302e-05,4.685051294837272e-05
2020-05-16,3.830503013349228e-05,5.4671098377242366e-05
