ds,y,yhat,yhat_lower,yhat_upper
2019-09-28,5.376445728358075e-05,6.2671865869589e-05,3.489628794645538e-05,0.00010945203909622364
2019-09-29,4.293575864260305e-05,5.138550178620184e-05,2.9291364616787996e-05,8.978521008598871e-05
2019-09-30,7.058775556825078e-05,0.00010677329407138053,6.141158125362958e-05,0.0001886197921831715
2019-10-01,,5.029189007369906e-05,2.8988495043489584e-05,8.881554430980343e-05
2019-10-02,,4.313157089570381e-05,2.4827755386641816e-05,7.445245125607378e-05
2019-10-03,,5.471011422239017e-05,2.9886185880240356e-05,9.617857455384046e-05
2019-10-04,,8.63648403307544e-05,5.0270788431826016e-05,0.00014884902207339826
2019-10-05,6.804326392429657e-05,0.00012070679314424084,6.957859816331789e-05,0.00021061442084816242
2019-10-06,5.512081301882159e-05,5.4840617888987713e-05,3.1298641293569664e-05,9.536937944496545e-05
2019-10-07,0.00010840898777028192,0.00010787077307163661,6.528352683869014e-05,0.00019250016156829907
2019-10-08,8.354339672044502e-05,0.00011740167326286876,6.776660765041316e-05,0.00021518522041297458
2019-10-09,0.0001479428070979923,8.387804960398598e-05,4.721860417494661e-05,0.0001424220603181729
2019-10-10,,7.313091930847152e-05,4.157946050734793e-05,0.0001301470587246354
2019-10-11,6.344203199527777e-05,8.218876228476277e-05,4.8135301760235295e-05,0.00014160128419710394
2019-10-12,,3.744520281254471e-05,1.7171678459701894e-05,8.281338408969879e-05
2019-10-13,3.54749403976169e-05,3.622009166602516e-05,2.0954237799592625e-05,6.319659379065602e-05
2019-10-14,,4.4611845260813135e-05,2.6171189515067865e-05,7.841958832279106e-05
2019-10-15,,5.475913110865109e-05,3.070409869888615e-05,9.47337411033936e-05
2019-10-16,,5.767710772976979e-05,3.205507581581854e-05,9.569512838433917e-05
2019-10-17,,8.425710530909016e-05,4.9560524920254e-05,0.00014397808898533704
2019-10-18,6.376132090616103e-05,8.940451461252588e-05,5.313244580923604e-05,0.00015681933867318904
2019-10-19,0.0001871150803564452,9.634254299847651e-05,5.4021881077138315e-05,0.00016216009996536704
2019-10-20,,4.442046113918304e-05,2.5161310170796262e-05,7.609400449408001e-05
2019-10-21,0.00018458011057725276,0.00016946223416813933,9.622930287299454e-05,0.0003024456409224548
2019-10-22,6.543667931825658e-05,9.241651945290096e-05,5.260273330965075e-05,0.00016155266269837719
