ds,y,precipitaciones,temperatura,es_finde,hora,dia_semana,mes,anio,Año Nuevo (New Year's Day),Día Nacional de la Memoria por la Verdad y la Justicia (Memory's National Day for the Truth and Justice),Día Nacional de la Soberanía (National Sovereignty Day),Día Pase a la Inmortalidad del General D. José de San Martin (Day Pass to the Immortality of General D. José de San Martin),Día Pase a la Inmortalidad del General D. Manuel Belgrano (Day Pass to the Immortality of General D. Manuel Belgrano),Día Pase a la Inmortalidad del General Martín Miguel de Güemes (Day Pass to the Immortality of General Martín Miguel de Güemes),Día de Carnaval (Carnival's Day),Día de Pascuas (Easter Day),Día de la Independencia (Independence Day),Día de la Revolucion de Mayo (May Revolution Day),Día del Respeto a la Diversidad Cultural (Respect for Cultural Diversity Day),Día del Trabajo (Labour Day),Día del Veterano y de los Caidos en la Guerra de Malvinas (Veterans Day and the Fallen in the Malvinas War),La Inmaculada Concepción (Immaculate Conception),Navidad (Christmas),Semana Santa (Jueves Santo)  (Holy day (Holy Thursday)),Semana Santa (Viernes Santo)  (Holy day (Holy Friday)),predicho
2019-01-05 13:00:00+00:00,11865.00000000006,0,28.2,1,13,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14013.079094710269
2019-01-05 14:00:00+00:00,9014.999999999984,0,28.8,1,14,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13910.493917268921
2019-01-05 15:00:00+00:00,9564.000000000064,0,29.6,1,15,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912.870716628777
2019-01-05 16:00:00+00:00,10839.000000000142,0,29.8,1,16,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13917.108974662391
2019-01-05 17:00:00+00:00,12526.000000000036,0,29.8,1,17,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13920.759674445435
2019-01-05 18:00:00+00:00,15011.999999999833,0,29.7,1,18,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13921.480259501683
2019-01-05 19:00:00+00:00,15632.000000000087,0,29.2,1,19,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13941.024394574746
2019-01-05 20:00:00+00:00,12796.000000000013,0,27.5,1,20,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13897.530816273842
2019-01-05 21:00:00+00:00,8764.999999999925,0,26.6,1,21,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13786.773208169505
2019-01-05 22:00:00+00:00,6648.999999999991,0,27.3,1,22,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10381.962085896837
2019-01-05 23:00:00+00:00,5066.000000000008,0,27.1,1,23,5,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9264.98491859655
2019-01-06 00:00:00+00:00,6999.000000000083,0,26.6,1,0,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6578.806207164285
2019-01-06 01:00:00+00:00,5679.00000000001,0,26.1,1,1,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5845.390120623758
2019-01-06 02:00:00+00:00,3714.999999999967,0,26.0,1,2,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4119.2524520580855
2019-01-06 03:00:00+00:00,2642.0000000000086,0,25.9,1,3,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3657.1459999179924
2019-01-06 04:00:00+00:00,2760.999999999978,1,25.0,1,4,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3643.6595716982033
2019-01-06 05:00:00+00:00,4718.000000000035,0,24.6,1,5,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5223.496740534077
2019-01-06 06:00:00+00:00,7293.999999999961,0,22.8,1,6,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8918.293915980903
2019-01-06 07:00:00+00:00,10899.999999999916,1,23.1,1,7,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9837.515553306725
