lon,lat,value
-58.62,-34.67,0
-58.62,-34.66,0
-58.62,-34.65,0
-58.62,-34.64,0
-58.62,-34.63,0
-58.62,-34.62,0
-58.62,-34.61,0
-58.62,-34.6,0
-58.62,-34.59,0
-58.62,-34.58,0
-58.62,-34.57,0
-58.62,-34.56,0
-58.62,-34.55,0
-58.62,-34.54,0
-58.62,-34.53,0
-58.62,-34.52,0
-58.62,-34.51,0
-58.62,-34.5,0
-58.62,-34.49,0
-58.62,-34.48,0
-58.62,-34.47,0
-58.62,-34.46,0
-58.62,-34.45,0
-58.62,-34.44,0
-58.62,-34.43,0
-58.62,-34.42,0
-58.62,-34.41,0
-58.62,-34.4,0
-58.62,-34.39,0
-58.62,-34.38,0
-58.62,-34.37,0
-58.62,-34.36,0
-58.62,-34.35,0
-58.62,-34.34,0
-58.62,-34.33,0
-58.62,-34.32,0
-58.61,-34.93,0
-58.61,-34.92,0
-58.61,-34.91,0
-58.61,-34.9,0
-58.61,-34.89,0
-58.61,-34.88,0
-58.61,-34.87,0
-58.61,-34.86,0
-58.61,-34.85,0
-58.61,-34.84,0
-58.61,-34.83,0
-58.61,-34.82,0
-58.61,-34.81,0
-58.61,-34.8,0
-58.61,-34.79,0
-58.61,-34.78,0
-58.61,-34.77,0
-58.61,-34.76,0
-58.61,-34.75,0
-58.61,-34.74,0
-58.61,-34.73,0
-58.61,-34.72,0
-58.61,-34.71,0
-58.61,-34.7,0
-58.61,-34.69,0
-58.61,-34.68,0
-58.61,-34.67,0
-58.61,-34.66,0
-58.61,-34.65,0
-58.61,-34.64,0
-58.61,-34.63,0
-58.61,-34.62,0
-58.61,-34.61,0
-58.61,-34.6,0
-58.61,-34.59,0
-58.61,-34.58,0
-58.61,-34.57,0
-58.61,-34.56,0
-58.61,-34.55,0
-58.61,-34.54,0
-58.61,-34.53,0
-58.61,-34.52,0
-58.61,-34.51,0
-58.61,-34.5,0
-58.61,-34.49,0
-58.61,-34.48,0
-58.61,-34.47,0
-58.61,-34.46,0
-58.61,-34.45,0
-58.61,-34.44,0
-58.61,-34.43,0
-58.61,-34.42,0
-58.61,-34.41,0
-58.61,-34.4,0
-58.61,-34.39,0
-58.61,-34.38,0
-58.61,-34.37,0
-58.61,-34.36,0
-58.61,-34.35,0
-58.61,-34.34,0
-58.61,-34.33,0
-58.61,-34.32,0
-58.6,-34.93,0
-58.6,-34.92,0
-58.6,-34.91,0
-58.6,-34.9,0
-58.6,-34.89,0
-58.6,-34.88,0
-58.6,-34.87,0
-58.6,-34.86,0
-58.6,-34.85,0
-58.6,-34.84,0
-58.6,-34.83,0
-58.6,-34.82,0
-58.6,-34.81,0
-58.6,-34.8,0
-58.6,-34.79,0
-58.6,-34.78,0
-58.6,-34.77,0
-58.6,-34.76,0
-58.6,-34.75,0
-58.6,-34.74,0
-58.6,-34.73,0
-58.6,-34.72,0
-58.6,-34.71,0
-58.6,-34.7,0
-58.6,-34.69,0
-58.6,-34.68,0
-58.6,-34.67,0
-58.6,-34.66,0
-58.6,-34.65,0
-58.6,-34.64,0
-58.6,-34.63,0
-58.6,-34.62,0
-58.6,-34.61,0
-58.6,-34.6,0
-58.6,-34.59,0
-58.6,-34.58,0
-58.6,-34.57,0
-58.6,-34.56,0
-58.6,-34.55,0
-58.6,-34.54,0
-58.6,-34.53,0
-58.6,-34.52,0
-58.6,-34.51,0
-58.6,-34.5,0
-58.6,-34.49,0
-58.6,-34.48,0
-58.6,-34.47,0
-58.6,-34.46,0
-58.6,-34.45,0
-58.6,-34.44,0
-58.6,-34.43,0
-58.6,-34.42,0
-58.6,-34.41,0
-58.6,-34.4,0
-58.6,-34.39,0
-58.6,-34.38,0
-58.6,-34.37,0
-58.6,-34.36,0
-58.6,-34.35,0
-58.6,-34.34,0
-58.6,-34.33,0
-58.6,-34.32,0
-58.59,-34.93,0
-58.59,-34.92,0
-58.59,-34.91,0
-58.59,-34.9,0
-58.59,-34.89,0
-58.59,-34.88,0
-58.59,-34.87,0
-58.59,-34.86,0
-58.59,-34.85,0
-58.59,-34.84,0
-58.59,-34.83,0
-58.59,-34.82,0
-58.59,-34.81,0
-58.59,-34.8,0
-58.59,-34.79,0
-58.59,-34.78,0
-58.59,-34.77,0
-58.59,-34.76,0
-58.59,-34.75,0
